doc_id,cleaned_text,bertopic_topic,bertopic_probability
131632694,melroy lovely wife beautiful people filled kindness care went way ensure fed feeling okay sick think sweet bed comfortable shower amazing public transport close need get city thank,-1,0.0
261723926,really enjoyed staying peter tram stop right front building walking minute towards cbd could catch tram free within central city zone best world cbd minute away best restaurant nightlife neighborhood fitzroy minute walk away suitable two guest basic small kitchen bathroom comfortable bed living area slightly larger basic hotel room plus site washing machine kitchen amenity nice quaint patio peter well organized timely communication responded promptly correspondence clean contained lot travel info brochure myki public transit card provides basic essential enjoy vacation holiday affordable price,0,0.4635131206393358
216022423,nice location communicative host,-1,0.0
311728675,,2,1.0
120487779,stefanie home delight fresh clean amenity generously provided home warm comfortable feel plenty light lovely open aspect shady street view yet still private quiet stefanie met upon arrival friendly welcoming,-1,0.0
245847873,nice sized studio comfy furnishing quiet hood residential area convenient shopping mall block away bob friendly welcoming,-1,0.0
220542084,great location easy move around town area suggest place,-1,0.0
228068855,lovely clean helpful host able leave luggage early great help,-1,0.0
117102471,location perfect place beautifully furnished needed thought thank,79,1.0
331177412,clean comfortable within walking distance good caf smoke alarm wake couple time last night,-1,0.0
207249121,perfect location convention centre excellent communication anna great value view awesome good spot watch crown casino flame night couple issue found studio clear property description time booking bunch large item covered corner kitchen seems like owner using backup storage unit could cleaner felt like bathroom shower proper clean guest,-1,0.0
139900723,came grand prix family kid yo knew area well confident great top location spotlessly clean secure convenient accomodation late check hesitate book,-1,0.0
64257474,misty house clean convinent thanks,42,1.0
45960399,bella perfect ideal location easy parking beautifully fitted regret day bella generous kind host look forward staying,-1,0.0
237974318,great place williamstown,48,0.24758783461080888
140989050,great close restaurant nightlife make easy someone host great welcoming provided necessary information needed friend enjoyable easy spacious clean well kept place recommend anyone everyone visiting want explore city,4,0.6033010368216891
232445253,clean room location good front skybus station elevator bit trouble sometimes need min go outside,-1,0.0
66174079,lovely peter picked station even though min walk away small need wifi washing machine dryer kitchen great value money,-1,0.0
204387728,good communication nice host bedroom nice expected better condition house bit old nice suburb good restaurant bus line wich go city center,-1,0.0
72015873,kind host basic frill accommodation communication mo warm friendly,-1,0.0
278362339,aleece place perfect close cosy warm child fascinated cor loved,-1,0.0
39817495,linda welcoming host fantastic location great arrangement easy recommend anyone want within easy access city use listing,103,1.0
234207961,well appointed place exactly shown photo clean nice bed excellent shower linda responsive host easy get town flat busy street noisy bedroom earplug issue,46,0.9920646758928892
298036774,simon place great loved location light airy lovely outlook way decorated friendly welcome note back thanks simon,-1,0.0
55777220,property gorgeous jamie helpful question lovely time could recommend place,-1,0.0
230747081,lovely place nice pool friendly helpful host,8,1.0
330714224,great location close casino surrounded shop restaurant etc need perfect couple wanting base explore,-1,0.0
139505155,house beautiful clean great location near bush short walk train station host friendly helpful,-1,0.0
156745907,great,29,0.9586725726144182
215812068,cara warm great host excellent position,-1,0.0
140993148,great funky place well equipped,-1,0.0
66488329,loved staying darren jodie cottage soo decided longer welcoming helped needed helpful arrival especially arrived plenty breakfast supply nice cottage cozy completely stored find may need location good minute public transport allowed use bike delightful day visiting thanks lot,21,0.3835648116343094
